,,,,,,from days,from death,,,,,,,
2,0,0,19,236,1241817,27,0,,,,,,,Nothing
1,0,0,16,236,1241924,27,107,,,Days,209,238,,220
2,0,0,23,235,1241937,26,120,,,Deaths,1241817,1256956,,1258772
1,0,0,18,236,1241940,27,123,,,,,,,
1,0,0,21,236,1241955,27,138,,,,,,,
1,0,0,17,236,1241970,27,153,,,,,,,
3,0,0,19,233,1241977,24,160,,,,,,,
1,0,0,20,237,1241980,28,163,,,,,,,
3,0,0,23,234,1242035,25,218,,,,,,,
1,0,0,13,236,1242051,27,234,,,,,,,
6,0,0,23,233,1242056,24,239,,,,,,,
2,0,0,17,236,1242060,27,243,,,,,,,
2,0,0,15,233,1242066,24,249,,,,,,,
1,0,0,15,235,1242067,26,250,,,,,,,
4,0,0,17,232,1242081,23,264,,,,,,,
4,0,0,15,233,1242083,24,266,,,,,,,
1,0,0,5,231,1242086,22,269,,,,,,,
2,0,0,10,231,1242086,22,269,,,,,,,
3,0,0,15,231,1242086,22,269,,,,,,,
4,0,0,20,231,1242086,22,269,,,,,,,
1,0,0,10,234,1242097,25,280,,,,,,,
2,0,0,20,234,1242097,25,280,,,,,,,
3,0,0,20,234,1242116,25,299,,,,,,,
2,0,0,21,233,1242139,24,322,,,,,,,
1,0,0,11,233,1242160,24,343,,,,,,,
2,0,0,22,233,1242160,24,343,,,,,,,
3,0,0,17,231,1242166,22,349,,,,,,,
1,0,0,4,233,1242272,24,455,,,,,,,
2,0,0,8,233,1242272,24,455,,,,,,,
3,0,0,12,233,1242272,24,455,,,,,,,
4,0,0,16,233,1242272,24,455,,,,,,,
5,0,0,20,233,1242272,24,455,,,,,,,
6,0,0,24,233,1242272,24,455,,,,,,,
1,0,0,19,238,1242303,29,486,,,,,,,
1,0,0,6,236,1242329,27,512,,,,,,,
2,0,0,12,236,1242329,27,512,,,,,,,
3,0,0,18,236,1242329,27,512,,,,,,,
4,0,0,24,236,1242329,27,512,,,,,,,
1,0,0,14,237,1242330,28,513,,,,,,,
2,0,0,7,231,1242356,22,539,,,,,,,
4,0,0,14,231,1242356,22,539,,,,,,,
6,0,0,21,231,1242356,22,539,,,,,,,
4,0,0,19,231,1242361,22,544,,,,,,,
3,0,0,22,233,1242363,24,546,,,,,,,
4,0,0,23,233,1242368,24,551,,,,,,,
5,0,0,18,230,1242376,21,559,,,,,,,
5,0,0,14,234,1242382,25,565,,,,,,,
3,0,0,14,234,1242388,25,571,,,,,,,
5,0,0,19,231,1242393,22,576,,,,,,,
1,0,0,23,238,1242400,29,583,,,,,,,
5,0,0,17,233,1242406,24,589,,,,,,,
2,0,0,9,233,1242412,24,595,,,,,,,
4,0,0,18,233,1242412,24,595,,,,,,,
1,0,0,8,236,1242413,27,596,,,,,,,
2,0,0,16,236,1242413,27,596,,,,,,,
3,0,0,24,236,1242413,27,596,,,,,,,
1,0,0,9,237,1242414,28,597,,,,,,,
2,0,0,18,237,1242414,28,597,,,,,,,
1,0,0,7,236,1242424,27,607,,,,,,,
2,0,0,14,236,1242424,27,607,,,,,,,
3,0,0,21,236,1242424,27,607,,,,,,,
3,0,0,16,231,1242425,22,608,,,,,,,
5,0,0,16,230,1242427,21,610,,,,,,,
5,0,0,24,233,1242443,24,626,,,,,,,
1,0,0,24,237,1242444,28,627,,,,,,,
